tweet,Politics,Result
"@realDonaldTrump Not much shocks me anymore, but spygate is so subversive and dastardly that I’ve reached a new level of outrage.",1,1
@RealCandaceO @TheDemocrats Wonder how many that have had friends family or neighbors accosted by Ms 13 find the love affair the Democrats have with them defenders of the Constitution and the laws of the land if this is part of the political system it nee,5,1
"@TrumpTrainMRA4 @POTUS @realDonaldTrump Good morning my BFF!?? What an awesome @POTUS we have! Love how he takes the time for our policemen, and Firefighters! Have a great day my friend! https://t.co/dpoxw847bE",2,1
@CoffeyjJustin @kaitlancollins @CNN And trump hasn’t ? Lol every tweet is a lie and it’s poijted out just how every time FYI,1,1
Philippine president asks exiled Maoist leader to return home for talks [RTR https://t.co/oiSUQmvHUu],1,1
@matthewamiller They are all scared ? shitless ... yet another huuuuge DISTRACTION that shows how freaked they are #ImpeachTrumpPence ?,1,1
"@realDonaldTrump You're on another planet, pal.",1,1
#RussianSpyGate is the correct term. The trumps are selling government policy to the highest bidder. This is what the GREAT men & women of the FBI are saying. https://t.co/5tWlf57UrN,1,1
Thankful for the courage of James Comey https://t.co/HEKOJVsYM6,1,1
@realDonaldTrump I'm so glad you fired him.,1,1
"@axios The problem is a lot of us see it, we know exactly what he’s doing, but more and more it feels like any attempt to stop him is hopeless and futile. My husband used to say there was no way he could dismantle our democracy in 4 years... but my growin",1,1
"@realDonaldTrump Translation: Not surprisingly, the GREAT Men & Women of the USA are speaking out against ME & all of the political corruption & poor leadership found within the top ranks of the #WH. I am a terrible and corrupt leader who has inflicted gr",3,1
@realDonaldTrump Your tell more lies scumbag,1,1
@GOP @realDonaldTrump Fu*king lies...,2,1
"DANGER DUE TO corruption, incompetence, “efficiencies,” folksy populism, the dismantling of public services, Trumpism ... at Jane & Sheppard, #toronto #ONpoli https://t.co/cHbSLTiUjj",1,1
"Dam’s Breaking: FBI Agent With Inside Knowledge Flips on Comey, Wants to Testify https://t.co/znrsRjeFzt",1,1
"Do not blindly follow.  ""If there is any fixed star in our constitutional..."" Read this!  United States Supreme Court decision West Virginia State Board of Education v. Barnette, 1943 https://t.co/tqmxjhPqVE",1,1
"@HighRelief @_weebutmighty @JTMYVA @fostercoburn @realDonaldTrump Name them. The twenty people.   You know, who Mueller indicted.   No, just name ten. I’ll wait.",1,1
"This woman is almost as bad as Hillary! She supposed to be above Corruption, But is as Corrupt as Obama??? https://t.co/8NVw38Ga8G",1,1
